COLE_CODIGO_COLEGIO;COLE_NOMBRE_SEDE;COLE_ES_BILINGUE
123125;I.E. DE PONTEZUELA - SEDE PRINCIPAL;
122382;CENT EDUC DIST VILLA AMALIA;
123224;INSTITUCION EDUCATIVA CIUDADELA DEL SUR;
123216;INSTITUCION EDUCATIVA CIUDADELA DEL SUR;
123307;INST. EDUC. DIST. DEL BARRIO SIMON BOLIVAR ;
107607;I.E. FONQUETA - SEDE PRINCIPAL;0
107615;I.E. SAN JOSÉ MARÍA ESCRIVA DE BALAGUER - SEDE PRINCIPAL;0
113894;INSTITUCION EDUCATIVA HIJOS DE MARIA;0
113902;INSTITUCION EDUCATIVA JOHN F KENNEDY;0
109447;CENT EDUC DIST REINO UNIDO DE HOLANDA;0
109454;COLEGIO NICOLÁS GÓMEZ DÁVILA (IED) - SEDE PRINCIPAL;0
109470;COLEGIO MANUEL CEPEDA VARGAS (IED) - SEDE PRINCIPAL;0
109488;CENT EDUC DIST ALEJANDRO OBREGON;0
109504;LICEO PEDAGOGICO LA LIBERTAD;0
109512;CENT EDUC DIST REP FEDERAL DE ALEMANIA;0
115881;INSTITUTO EDUCATIVO ISAAC NEWTON;0
115915;INSTITUTO DE EXCELENCIA HUMANA Y ACADEMICA IDEHA;0
115923;I.E. LA PAZ - SEDE PRINCIPAL;0
115956;CENT EDUC DIST ROBERT KENNEDY;0
115972;CENT EDUC DIST DIANA TURBAY;0
115980;CENT EDUC DIST GENERAL PAEZ;0
115998;INSTITUCION EDUCATIVA JOSE DE LA VEGA;0
149468;CENTRO EDUCATIVO SANTA ROSA;
149476;CORPÓRACION GIMNASIO ALEMÁN FRIENDRICH VON SCHILLER - SEDE PRINCIPAL;1
149484;COLEGIO INGLES AMERICANO - SEDE PRINCIPAL;
126102;COLEGIO MARIA MERCEDES CARRANZA (I.E.D);
124651;IE TULIO ENRIQUE TASCON CHAMBIMBAL - SEDE PRINCIPAL;
125112;COL. DIOCESANO JUAN XXIII;
125328;CENT PILOTO DE EDUC NUEVA TIBABUYES                                                                 ;
125336;COLEGIO PUERTA DEL SOL;
125344;FORMAR(INSTITUTO DE EDUCACION FORMAL PARA JOVENES Y ADULTOS) - SEDE PRINCIPAL;0
128967;IE ESPERANZA AMOR Y PAZ SANTA RITA;
129932;INSTITUTO REGIONAL COREDI - SEDE PRINCIPAL;
129940;INSTITUTO REGIONAL COREDI                                                    ;
123984;COLEGIO DE LA INMACULADA CONCEPCION;
96982;INSTITUCIÓN EDUCATIVA POLICARPA SALAVARRIETA;0
96990;COLEGIO DE BACHILLERATO CON PROMOCION FLEXIBLE PARA ADULTOS RAFAEL CALLE CALI;0
97006;COL ALMIRANTE COLON DE MONTERIA;0
97022;CENTRO DE ESTUDIOS HUITAKA                                  ;0
122234;COLEGIO REPUBLICA DOMINICANA (IED) - SEDE PRINCIPAL;0
124107;I.E.M. LUIS EDUARDO MORA OSEJO - SEDE PRINCIPAL;
124115;INS DE EDUCACION DE ADULTOS COVALSYSTEM;
124131;INSTITUCION EDUCATIVA ALFONSO LOPEZ PUMAREJO;
107698;INSTITUCION EDUCATIVA CIUDAD SEDE MARIA BERNAL;0
107706;CENTRO EDUCATIVO PARA ADULTOS PROGRESAR;0
107730;INST. TECNICA INDUSTRIAL DE SOLEDAD;0
107748;COLEGIO JUAN JOSE RONDON                                                                            ;0
107771;INST EDUC OCTAVIO CALDERON MEJIA;0
101840;INST EDUC FE Y ALEGRIA EL LIMONAR;0
101857;I. E. HERACLIO MENA PADILLA;0
86488;PADRE CAMILO TORRES;0
